"Original Text","ChatGPT","DeepL","Google","Comments","Initial choice","First editing pass","Proofreading"
"EV001","","","","","","",""
"EV002","","","","","","",""
"EV003","","","","","","",""
"EV005","","","","","","",""
"EV006","","","","","","",""
"EV009","","","","","","",""
"EV010","","","","","","",""
"EV008","","","","","","",""
"EV011","","","","","","",""
"EV012","","","","","","",""
"EV007","","","","","","",""
"EV004","","","","","","",""
"EV014","","","","","","",""
"第一話
　　　　　　　　\{「怪異の兆し」\}","Episode 1
　　　　　　　　\{""Signs of the Strange""\}","Episode 1
　　　　　　　　\{ ""Signs of a Mystery"" \}","Episode 1
\{ ""Signs of strangeness"" \}","","Episode 1
　　　　　　　　\{""Signs of the Strange""\}","",""
"Move forward","","","","","","",""
"Back","","","","","","",""
"コドク編へ戻る","Return to the Solitude chapter.","Back to Kodoku version","Back to Kodoku","","Return to Strange Room.","",""
"第二話は未開放です。","Episode 2 is locked.","Episode 2 is not yet open.","The second episode is not yet released.","","Episode 2 is locked.","",""
"第二話
　　　　　　　　\{「開いた大口」\}","Second Episode
　　　　　　　　\{""The Opened Jaws""\}","Episode 2
　　　　　　　　\{ ""The Open Mouth"" \}","Episode 2
\{ ""Open mouth"" \}","","Second Episode
　　　　　　　　\{""The Opened Jaws""\}","",""
"第三話は未開放です。","Episode 3 is locked.","Episode 3 is not open.","Episode 3 is not yet released.","","Episode 3 is locked.","",""
"第三話
　　　　　　　 \{「精霊のちから」\}","Episode 3
　　　　　　　 \{""The Power of Spirits""\}","Episode 3
　　　　　　　 \{ ""The Power of Spirits"" \}","Episode 3
\{ ""Power of the Spirit"" \}","","Episode 3
　　　　　　　 \{""The Power of Spirits""\}","",""
"第四話は未開放です。","4th episode is locked/unavailable.","Episode 4 is not open.","Episode 4 is not open yet.","","4th episode is locked.","",""
"第四話
　　　　　　　　\{「暗躍する糸」\}","Episode 4
　　　　　　　　\{""The Manipulative Thread""\}","Episode 4
　　　　　　　　\{ ""The Thread of Darkness"" \}","Episode 4
　　　　　　　　\{ ""Threads that dance behind the scenes"" \}","","Episode 4
　　　　　　　　\{""The Manipulative Thread""\}","",""
"第五話は未開放です。","Episode 5 is locked.","The fifth episode is not open.","Episode 5 is not yet released.","","Episode 5 is locked.","",""
"第五話
　　　　　　　　\{「鏡像の決戦」\}","Episode 5
　　　　　　　　\{""Battle of the Mirrors""\}","Episode 5
　　　　　　　　\{ ""Decisive Battle of Mirror Images"" \}","Episode 5
\{ ""Mirror Battle"" \}","","Episode 5
　　　　　　　　\{""Battle of the Mirrors""\}","",""
"回想部屋へ行く","Go to the flashback room.","Going to the Recollection Room","go to recollection room","","Go to the flashback room.","",""
