"Original Text","ChatGPT","DeepL","Google","Comments","Initial choice","First editing pass","Proofreading"
"EV006","","","","","","",""
"EV004","","","","","","",""
"EV011","","","","","","",""
"EV001","","","","","","",""
"穴","","","","","","",""
"えへ","","","","","","",""
"狐1","","","","","","",""
"狐2","","","","","","",""
"コダマ","","","","","","",""
"アズキ","","","","","","",""
"Fugh...","","","","","","",""
"（今日も修行が捗った・・・）","(Today's training went well...)","(I made progress in my training today...)","(The training went well today...)","","(Today's training went well...)","(Today's training went well...)",""
"（さて、寝るか・・・）","(Well, should I go to bed...)","(Well, I'm off to bed...)","(Well, go to sleep...)","","(Well, should I go to bed...)","(Well, I'm off to bed...)",""
"・・・・・・・・・！","...........!","・・・・・・・・・!","・・・・・・・・!","","...........!","",""
"...?!","...?!","...?!","...?!","","...?!","",""
"（何だか、今・・・

　変な悪寒が・・・）","(Somehow, now... 

 Strange chills...)","（I just got a...

　I have a weird chill...)","(Somehow, now...

(I have a strange chill...)","","(Somehow, now... 

 Strange chills...)","(Somehow, now... 

I'm feeling a strange chill...)",""
"（空気が変わったような・・・）","(The air feels different...)","（The air seems to have changed...)","(It's like the atmosphere has changed...)","","(The air feels different...)","(The air feels different...)",""
"気のせいか・・・。","Is it just my imagination...?","Is it my imagination?","Is it just me···.","","Is it just my imagination...?","Is it just my imagination...?",""
"お、おい・・・

気づかれたんじゃ？","Hey... Did you notice? 

","Hey, hey...

Did he notice you?","Oh, hey...

Did you notice?","","Hey... Did you notice? 

","Hey... Did you notice? 

",""
"あいつ、何だか警戒してるぞ？","That guy seems to be on guard for some reason.","He's looking kind of wary, isn't he?
reason.","Is he on guard for some reason?
reason.","","That guy seems to be on guard for some
reason.","He seems to be on guard for some reason
isn't he?",""
".........","..........",".........",".........","","..........","",""
"ええいっ！

ならば乗り込めっ！","Alright! 

 Then hop on!","Yes!

Then get in!","Yeah!

Then get in!","","Alright! 

 Then hop on!","Alright!

Then get in!",""
"うわはははー！","Uwahaha!","Ha-ha-ha-ha!","Wow!","","Uwahaha!","Uwahaha!",""
"・・・狐さん・・・。","...Kitsune-san...","Mr. Fox...","Mr. Fox...","","...Kitsune-san...","...Kitsune-san...",""
"屋根裏に忍び込んでまで・・・

何の御用です？","Crawling into the attic... 

 What can I do for you?","You snuck into my attic...

What do you want?","Until I sneaked into the attic...

What do you want?","","Crawling into the attic... 

 What can I do for you?","You snuck into my attic...

What do you want?",""
"決まってんだろー！

キミィ！","You've decided, right?! 

Kimi!","What do you want?

You!","It's decided!

Kimmy!","","You've decided, right?! 

Kimi!","It's obvious!

You!",""
"\{\{夜這いだよ！！\}\}","\{\{I came to sneak in at night!!\}\}","\{\{, it's a night crawl! \}\}","\{\{ It's a night crawl! ! \}\}","","\{\{I came to sneak in at night!!\}\}","\{\{ It's a night crawl! ! \}\}",""
"......","......","......","......","","......","",""
"こっちは色々お預け喰らって・・・

溜まってるのさ！","Here, I've been put on hold for various things... 

 I'm building up energy!","I've been on the hook for a lot of stuff...
things... 
I'm just a little peckish!
 I'm building up energy!","I've been eating a lot of deposits here...
things... 
It's piling up!
 I'm building up energy!","MTL has troubles with first sentence","Here, I've been put on hold for various
things... 

 I'm building up energy!","I've been holding out a lot lately

I'm pent up!",""
"さぁ、精を吸わせておくれ・・・！","Now, let me suck your energy...!","Come on, let me suck your cum..!","Come on, let me suck your semen...!","","Now, let me suck your energy...!","Now, let me suck your energy...!",""
"Kgh...","Kgh...","Kgh...","Kgh...","","Kgh...","",""
"私の快眠の邪魔はさせませんよ・・・！","I won't let you disturb my good night's sleep...!","I won't let you disturb my good sleep..!
sleep...!","I won't let you disturb my good sleep...!
sleep...!","","I won't let you disturb my good night's
sleep...!","I won't let you disturb my good night's
sleep...!",""
"お待ちになって！","Please wait!","Wait for me!","Stay tuned!","","Please wait!","Wait for me!",""
"夜這いならば、今宵の相手は私が・・・","If it's a night raid, then I will be your partner tonight...","If you're a night crawler, I'm your man tonight.
partner tonight...","If it's a night crawler, I'll be your partner tonight...
partner tonight...","","If it's a night raid, then I will be your
partner tonight...","If it's a night crawl, then I will be 
your partner tonight...",""
"Back off!","Back off!","Back off!","Back off!","","Back off!","",""
"今日は私が襲う番なんだよ！","Today is my turn to attack!","It's my turn to attack you today!","It's my turn to attack today!","","Today is my turn to attack!","Today is my turn to attack!",""
"やほー・・・。","Hey...","Yoo-hoo...","Yaho...","","Hey...","Hey...",""
"白念くーん。

スケベしよぉ・・・♪","White Nen-kun. 

Let's get naughty...♪","Shiranen-kun.

Let's play dirty...","I'm sorry.

Let's be lascivious...♪","","White Nen-kun. 

Let's get naughty...♪","Hakunen-kun. 

Let's get naughty...♪",""
"Ggh... Kgh!","Ggh... Kgh!","Ggh... Kgh!","Ggh... Kgh!","","Ggh... Kgh!","",""
